ol/la	\ to be, to have
ei 	\ negation
saa/da 	\ to get (receive)(, may, be allowed)
voi/da 	\ to can (to be able)
tul/la 	\ to come
teh/dä 	\ to do
pitä/ä 	\ to like (to consider, to have, to hold)
sano/a 	\ to say
kerto/a	\ to tell (to multiply)
jää/dä 	\ to stay
otta/a 	\ to take
anta/a 	\ to give
halu/ta	\ to want
alka/a 	\ to begin (to start doing)
käy/dä 	\ to visit (to go)
eikä 	\ nor (negation verb word)
pääs/tä	\ to get to (to reach, to arrive)
toimi/a	\ to work (to function)
ettei 	\ että+ei
men/nä 	\ to go
joutu/a	\ to get into (into negative position, involuntary)
käyttä/ä 	\ to use (to make use of)
kuulu/a		\ to be heard (to be audible, to be said), to belong
lähte/ä		\ to leave (to go)
tarvi/ta 	\ to need (to require)
nous/ta		\ to rise (to arise, to embark)
näh/dä 		\ to see
tode/ta		\ to state (to note, to notice)
seura/ta 	\ to follow, accompany
tietä/ä		\ to know
maksa/a		\ to cost (to pay)
vaati/a		\ to demand (to insist, to claim)
löyty/ä		\ to be found
tuo/da 		\ to bring (to get)
usko/a 		\ to believe in (to have faith)
esittä/ä 	\ to express (to present, to show when explaining)
odotta/a 	\ to wait for
näyttä/ä 	\ to show (to present, to seem)
synty/ä		\ to be born
päättä/ä 	\ to decide
saatta/a 	\ to escort(, may)
aloitta/a 	\ to start (to go ahead)
kasva/a		\ to grow (to increase)
järjestä/ä 	\ to arrange
johta/a		\ to lead (to guide)
vali/ta		\ to choose (to pick)
jatka/a		\ to continue (to go on, to extend)
voitta/a 	\ to win
pela/ta		\ to play
vie/dä 		\ to take (to bring away, to steal)
sopi/a 		\ to fit
arvioi/da 	\ to evaluate
katso/a		\ to look (to watch)
vasta/ta 	\ to answer
riittää 	\
ajaa 		\
tuntea 		\
puhua 		\
rakentaa 	\
pystyä 		\
liittyä 	\
tapahtua 	\
jatkua 		\
lisätä 		\
jättää 		\
laskea 		\
yrittää 	\
tuntua 		\
vaikuttaa 	\
ilmoittaa 	\
löytä/ä		\ to find
pyrkiä 		\
tarjota 	\
kannattaa 	\
hoitaa 		\
hyväksyä 	\
myöntää 	\
siirtyä 	\
aiheuttaa 	\
aikoa 		\
hakea 		\
muuttaa 	\
myydä 		\
nostaa 		\
kestää 		\
pysyä 		\
muistuttaa 	\
elää 		\
osallistua 	\
koskea 		\
onnistua 	\
toivoa 		\
selvittää 	\
muuttua 	\
näkyä 		\
ehtiä 		\
asua 		\
osoittaa 	\
ostaa 		\
kirjoittaa 	\
perustaa 	\
jakaa 		\
kokea 		\
palata 		\
korostaa 	\
luoda 		\
suunnitella 	\
päättyä 	\
tutkia 		\
osata 		\
tukea 		\
kuulla 		\
tarkoittaa 	\
vetää 		\
tuottaa 	\
ymmärtää 	\
sijaita 	\
käsitellä 	\
merkitä 	\
ratkaista 	\
kulua 		\
etsiä 		\
asettaa 	\
pohtia 		\
ryhtyä 		\
luvata 		\
ajatella 	\
hankkia 	\
kulkea 		\
kysyä 		\
miettiä 	\
avata 		\
saapua 		\
muistaa 	\
epäillä 	\
puuttua 	\
auttaa 		\
valmistua 	\
kerätä 		\
kuolla 		\
esiintyä 	\
vakuuttaa 	\
toteuttaa 	\
kuvata 		\
esitellä 	\
siirtää 	\
lähettää 	\
lukea 		\
täyttää 	\
vahvistaa 	\
kehittää 	\
edustaa 	\
tavata 		\
huomata 	\
lisääntyä 	\
työskennellä 	\
hallita 	\
pyytää 		\
ohjata 		\
kärsiä 		\
liikkua 	\
täytyä 		\
julkaista 	\
istua 		\
menettää 	\
viettää 	\
panna 		\
selvitä 	\
sattua 		\
soittaa 	\
kiinnostaa 	\
keskittyä 	\
perustua 	\
kutsua 		\
arvella 	\
pelätä 		\
hävitä 		\
uhata 		\
omistaa 	\
yllättää 	\
huomauttaa 	\
keskustella 	\
johtua 		\
tuomita 	\
lopettaa 	\
oppia 		\
parantaa 	\
kantaa 		\
valmistaa 	\
edetä 		\
perustella 	\
kieltää 	\
estää 		\
edellyttää 	\
yhdistää 	\
mainita 	\
vaihtaa 	\
vähentää 	\
koota 		\
saavuttaa 	\
sijoittaa 	\
sulkea 		\
määrätä 	\
kaivata 	\
äänestää 	\
pudota 		\
varata 		\
lyödä 		\
sijoittua 	\
nimittää 	\
ilmestyä 	\
luopua 		\
heittää 	\
herättää 	\
sujua 		\
sisältää 	\
korvata 	\
syyttää 	\
väittää 	\
suhtautua 	\
syödä 		\
ihmetellä 	\
vastustaa 	\
nauttia 	\
säilyä 		\
kohdata 	\
suosia 		\
kertyä 		\
muodostaa 	\
ampua 		\
loppua 		\
havaita 	\
ylittää 	\
painaa 		\
kehittyä 	\
iskeä 		\
toteutua 	\
neuvotella 	\
palkita 	\
kilpailla 	\
julkistaa 	\
