vuosi	\ year
markka 	\ mark
maa 	\ land
asia 	\ thing
prosentti 	\ percentage
ihminen 	\ people
mies 		\ man
aika 		\ time
työ 		\ work
mieli 		\ mind
kaupunki 	\ city
osa 		\ part
alue 		\ area
lapsi 		\ child
päivä 		\ day
hallitus 	\ government
kunta 		\ municipality
nainen 		\ woman
viikko 		\ week
luku 		\ chapter
kerta 		\ time
yritys 		\ company
alku 		\ start
paikka 		\ position
tilanne 	\ situation
presidentti 	\ president
tieto 		\ data
loppu 		\ final
tapa 		\ way to
maailma 	\ world
määrä 		\ the number of
puheenjohtaja 	\ chairman of
poliisi 	\ police
kisa 		\ race
auto 		\ car
toiminta 	\ operation
tulos 		\ result
raha 		\ money
päätös 		\ decision
käyttö 		\ the use of
syy 		\ reason
elämä 		\ life
kilpailu 	\ competition
koulu 		\ school
kesä 		\ summer
ongelma 	\ problem
yhtiö 		\ the company
joukkue 	\ team
nuori 		\ young
mahdollisuus 	\ the opportunity to
kausi 		\ season
suomalainen 	\ Finnish (person)
valtio 		\ the state
kuva 		\ photo
nimi 		\ name
joukko 		\ a set of
johtaja 	\ director of
tila 		\ space
apu 		\ help (assistance)
ryhmä 		\ group
hetki 		\ moment
tehtävä 	\ function
puolue 		\ party
tavoite 	\ target
voitto 		\ profit
matka 		\ travel
kauppa 		\ trade
ottelu 		\ match
sopimus 	\ contract
maanantai 	\ Monday
hinta 		\ price
sunnuntai 	\ Sunday
sarja 		\ series
perjantai 	\ Friday
puoli 		\ semi
lauantai 	\ Saturday
yhteistyö 	\ cooperation
jäsen 		\ member
tutkimus 	\ research
syksy 		\ autumn
torstai 	\ Thursday
tiistai 	\ Tuesday
keskiviikko 	\ Wednesday
kysymys 	\ question
talo 		\ house
kuukausi 	\ month
ohjelma 	\ program
ratkaisu 	\ solution
peli 		\ game
kirja 		\ book
tuki 		\ support
poika 		\ son
esitys 		\ presentation
edustaja 	\ agent (representative)
ala 		\ area
tie 		\ path
perhe 		\ family
metri 		\ metric
oikeus 		\ the right to
asema 		\ drive
elokuva 	\ movie
voima 		\ power
tarkoitus 	\ purpose
maali 		\ paint
johto 		\ management
muutos 		\ change
tunti 		\ hour
tapahtuma 	\ event
hanke 		\ project
kevät 		\ spring
piste 		\ point
kokous 		\ meeting
vesi 		\ water
liitto 		\ union
tulevaisuus 	\ future
ääni 		\ audio
palvelu 	\ service
juttu 		\ thing
kunto 		\ condition
taso 		\ level
pääministeri 	\ prime minister
tulo 		\ input
keskusta 	\ center
työntekijä 	\ employee
osuus 		\ share
käsi 		\ hand
lehti 		\ journal
asiakas 	\ customer
henkilö 	\ person
sivu 		\ page
klo 		\ at
raja 		\ limit (border)
toimitusjohtaja \ CEO
musiikki	\ music
teos 		\ work
kasvu 		\ growth
talous 		\ economic
sota 		\ war
koti 		\ home
kilometri 	\ kilometer
asukas 		\ resident
käytäntö 	\ practice
vaali 		\ election
kirkko 		\ church
minuutti 	\ minute
keskustelu 	\ discussion
tapaus 		\ case
eduskunta 	\ parliamentary
ero 		\ difference
arvo 		\ value
henki 		\ spirit
neuvottelu 	\ negotiation
seura 		\ society
vaihe 		\
pankki 		\
koulutus 	\
miljoona 	\
työpaikka 	\
rakentaminen 	\
suhde 		\
historia 	\
komissio 	\
laki 		\
pelaaja 	\
kello 		\
näyttely 	\
yhteys 		\
kokemus 	\
ehdokas 	\
asunto 		\
kehitys 	\
osake 		\
huomio 		\
äiti 		\
yleisö 		\
myynti 		\
hoito 		\
tarve 		\
suunta 		\
lupa 		\
ajatus 		\
tyttö 		\
kohde 		\
tuote 		\
kone 		\
opettaja 	\
ilta 		\
maakunta 	\
markkinat 	\
kieli 		\
vuosikymmen 	\
tekijä 		\
kansa 		\
yö 		\
sana 		\
vaihtoehto 	\
merkitys 	\
isä 		\
liike 		\
suunnitelma 	\
tuotanto 	\
valmentaja 	\
malli 		\
parlamentti 	\
kansalainen 	\
pää 		\
vanhempi 	\
aihe 		\
talvi 		\
vauhti 		\
yhteiskunta 	\
meno 		\
vaikutus 	\
rakennus 	\
kylä 		\
kanta 		\
opiskelija 	\
metsä 		\
liikenne 	\
tutkija 	\
laji 		\
vastuu 		\
kansanedustaja 	\
rooli 		\
järjestö 	\
puu 		\
etu 		\
professori 	\
luokka 		\
linja 		\
elokuu 		\
politiikka 	\
seutu 		\
oppilas 	\
kierros 	\
kesäkuu 	\
piiri 		\
valinta 	\
euro 		\
puhe 		\
kulttuuri 	\
ura 		\
huoli 		\
valtuusto 	\
liiga 		\
Kokoomus 	\
kehittäminen 	\
omistaja 	\
silmä 		\
projekti 	\
yhdistys 	\
nousu 		\
viranomainen 	\
kenttä 		\
erä 		\
tarina 		\
teatteri 	\
väki 		\
tekeminen 	\
yrittäjä 	\
ministeri 	\
kustannus 	\
sairaala 	\
syyskuu 	\
merkki 		\
keskus 		\
lokakuu 	\
sekunti 	\
onni 		\
luonto 		\
valta 		\
ympäristö 	\
pohja 		\
toukokuu 	\
keino 		\
taiteilija 	\
tehdas 		\
toimittaja 	\
maaliskuu 	\
ruoka 		\
heinäkuu 	\
tammikuu 	\
virka 		\
kriisi 		\
vara 		\
tausta 		\
joulukuu 	\
yliopisto 	\
selvitys 	\
lääkäri 	\
dollari 	\
sija 		\
mestaruus 	\
marraskuu 	\
tilaisuus 	\
olo 		\
ystävä 		\
jalka 		\
palkinto 	\
konsertti 	\
rauha 		\
katsoja 	\
pakolainen 	\
ulkomaa 	\
palkka 		\
juhla 		\
levy 		\
järjestelmä 	\
toimi 		\
julkisuus 	\
teko 		\
lasku 		\
kyse 		\
vieras 		\
potilas 	\
ovi 		\
budjetti 	\
laitos 		\
näytelmä 	\
menestys 	\
arvio 		\
rata 		\
kirjailija 	\
voittaja 	\
kappale 	\
turvallisuus 	\
lähtö 		\
ranta 		\
televisio 	\
ulkoministeri 	\
esimerkki 	\
teksti 		\
taistelu 	\
vaatimus 	\
seurakunta 	\
kurssi 		\
armeija 	\
työryhmä 	\
