uusi	\ new
hyvä 	\ good
suuri 	\
oma 	\
viime 	\
koko 	\
pieni 	\
ensi 	\
vanha 	\
tärkeä 	\
eri 	\
entinen 	\
suomalainen 	\
vuotias 	\
viimeinen 	\
nykyinen 	\
pitkä 		\
sellainen 	\
kansainvälinen 	\
kova 		\
vaikea 		\
nuori 		\
mahdollinen 	\
korkea 		\
iso 		\
erilainen 	\
yhteinen 	\
valmis 		\
poliittinen 	\
tällainen 	\
paha 		\
oikea 		\
vahva 		\
selvä 		\
ainoa 		\
helppo 		\
laaja 		\
huono 		\
yleinen 	\
tuttu 		\
edellinen 	\
välinen 	\
tavallinen 	\
merkittävä 	\
runsas 		\
perinteinen 	\
taloudellinen 	\
nopea 		\
tyytyväinen 	\
paikallinen 	\
avoin 		\
varsinainen 	\
julkinen 	\
tuore 		\
tiukka 		\
täysi 		\
keskeinen 	\
kotimainen 	\
kansallinen 	\
todellinen 	\
lyhyt 		\
pelkkä 		\
varma 		\
kallis 		\
vapaa 		\
vajaa 		\
tarkka 		\
vakava 		\
kaunis 		\
tekninen 	\
virallinen 	\
reilu 		\
yksityinen 	\
raskas 		\
vastaava 	\
tietty 		\
eurooppalainen 	\
amerikkalainen 	\
heikko 		\
ulkomainen 	\
hieno 		\
aikainen 	\
voimakas 	\
venäläinen 	\
aiempi 		\
halpa 		\
turha 		\
myönteinen 	\
kylmä 		\
selkeä 		\
samanlainen 	\
lopullinen 	\
väärä 		\
vastainen 	\
millainen 	\
valtakunnallinen 	\
kiinnostunut	\
kuollut 	\
normaali 	\
suora 		\
tehokas 	\
mukava 		\
puhdas 		\
mielenkiintoinen 	\
ruotsalainen	\
henkilökohtainen 	\
sisäinen	\
ylimääräinen 	\
vähäinen 	\
saksalainen 	\
tamperelainen 	\
henkinen 	\
harvinainen 	\
yksittäinen 	\
mahdoton 	\
syvä 		\
lämmin 		\
mukainen 	\
sosiaalinen 	\
turkulainen 	\
tyhjä 		\
vaarallinen 	\
hankala 	\
musta 		\
alueellinen 	\
turvallinen 	\
arvokas 	\
pohjoinen 	\
erityinen 	\
kevyt 		\
melkoinen 	\
ranskalainen 	\
valtava 	\
itsenäinen 	\
vähä 		\
alkuperäinen 	\
tasainen 	\
hauska 		\
johtava 	\
kuuma 		\
historiallinen 	\
vieras 		\
aktiivinen 	\
valkoinen 	\
yhteiskunnallinen 	\
ulkopuolinen	\
kaltainen 	\

