onni                \ luck ; happieness
tupaantuliaiset	    \ house warming party
(tulla + )kylään    \ to visit (to) someone
kauppa		    \ shop
pastasalatti	    \ pasta salad
lihapulla	    \ meatballs
leipoa		    \ to bake
sitruunakakku	    \ lemon cake
vieras		    \ guest
näyttää		    \ to show
heille		    \ to them (ulkona)
heistä		    \ from them (sisään)
kodikas		    \ homely ; cozy
saada		    \ to get ; to receive
lahja		    \ present
viinilasi	    \ wine glass
kouhuviini	    \ sparkling wine
suklaa		    \ chocolate
kukka		    \ flower
tuoda		    \ to bring
ruisleipä	    \ rye bread
suola		    \ salt
vitsi		    \ joke
antaa		    \ to give
vessaharja	    \ toliet brush
kaikki		    \ all
leipä		    \ bread
olut		    \ beer
limu		    \ limonade
tosi		    \ really ; very
pitää + sta(stä)    \ to like
makea		    \ sweet
hapan		    \ sour
kaveri		    \ mate ; comrade
resepti		    \ recipe
G + jälkeen	    \ after
jutella		    \ to chat
kuunnella (+P)	    \ to listen to
musiikki	    \ music
oli		    \ was
opiskelukaveri	    \ school mate
keskusta	    \ (town) center 
disko		    \ disko
kitara		    \ guitar
alkaa		    \ to start
pian		    \ soon
juhlat		    \ party (plural)
jatkua		    \ to continue
myöhä		    \ late


ostoslista	    \
pasta		    \
kinnnkku	    \
salaatti	    \
tomaatti	    \
majoneesi	    \
sipuli		    \
oliivi		    \
jauheliha	    \
muna		    \
jauho		    \
sitruuna	    \
kerma		    \
voi                 \




